Eng Displ,# Cyl,Comb Unadj FE - Conventional Fuel,# Gears,Max Ethanol % - Gasoline,Intake Valves Per Cyl,Exhaust Valves Per Cyl,Trans Creeper Gear,Unique Label?,Air Aspiration Method Desc,Fuel Metering Sys Desc,Cyl Deact?
3.0,6,30.1701,6,10.0,2,2,N,N,Turbocharged,@@@@@,N
,6,25.263,7,85.0,2,2,N,,Naturally Aspirated,Spark Ignition Direct Injection,N
2.0,4,31.3949,6,10.0,2,2,N,N,none given,Spark Ignition Direct Injection,N
5.5,8,22.9319,7,10.0,2,2,N,,Turbocharged,Spark Ignition Direct Injection,
,8,23.4292,6,85.0,1,1,N,N,Naturally Aspirated,Spark Ignition Direct Injection,Y
,4,34.0888,6,10.0,2,2,N,N,Naturally Aspirated,Spark Ignition Direct Injection,N
3.8,6,25.7642,7,10.0,2,2,N,N,Turbocharged,@@@@@,N
,8,23.9191,6,10.0,1,1,N,N,none given,Spark Ignition Direct Injection,Y
3.0,6,30.8317,8,10.0,2,2,N,N,Turbocharged,Spark Ignition Direct Injection,N
3.0,6,39.0171,8,,2,2,N,N,none given,@@@@@,N
,4,38.8882,7,10.0,2,2,N,N,Naturally Aspirated,Multipoint/sequential fuel injection,N
,6,30.071,6,10.0,2,2,N,N,Naturally Aspirated,Multipoint/sequential fuel injection,
4.6,8,21.3053,6,15.0,2,2,N,N,Naturally Aspirated,Multipoint/sequential fuel injection,   
3.8,6,25.8927,6,10.0,2,2,N,N,none given,@@@@@,N
3.6,6,28.9863,6,85.0,2,2,N,N,Naturally Aspirated,Spark Ignition Direct Injection,   
,4,31.1683,1,10.0,2,2,N,N,Naturally Aspirated,Multipoint/sequential fuel injection,N
3.4,6,28.0884,7,10.0,2,2,N,Y,none given,@@@@@,N
3.5,6,32.1877,7,10.0,2,2,N,N,none given,Multipoint/sequential fuel injection,   
3.0,6,36.8664,8,,2,2,N,N,none given,Common Rail Direct Diesel Injection,
1.4,4,36.4714,6,10.0,2,2,N,N,Turbocharged,@@@@@,N
2.0,4,35.8588,8,10.0,2,2,N,N,none given,Spark Ignition Direct Injection,N
3.5,6,32.3693,6,10.0,2,2,N,N,none given,Multipoint/sequential fuel injection,
1.6,4,31.6054,6,10.0,2,2,N,Y,Turbocharged,Spark Ignition Direct Injection,
,4,41.3417,6,10.0,2,2,N,Y,none given,Spark Ignition Direct Injection,
3.0,6,25.1945,7,10.0,2,2,N,N,Turbocharged,@@@@@,   
3.7,6,27.893,7,10.0,2,2,N,N,Naturally Aspirated,@@@@@,N
,6,24.9505,6,10.0,2,2,N,N,Naturally Aspirated,Spark Ignition Direct Injection,N
5.7,8,18.5388,6,85.0,2,2,N,N,Naturally Aspirated,Multipoint/sequential fuel injection,N
,4,36.0136,6,10.0,2,2,N,N,Naturally Aspirated,Spark Ignition Direct Injection,
1.8,4,39.3042,5,15.0,2,2,N,N,none given,Spark Ignition Direct Injection,N
1.8,4,37.1407,6,15.0,2,2,N,N,none given,Spark Ignition Direct Injection,   
3.0,6,25.0428,8,10.0,2,2,N,Y,none given,Spark Ignition Direct Injection,   
,6,28.6582,8,15.0,2,2,N,N,Naturally Aspirated,Spark Ignition direct & ported injection,N
4.7,8,20.5806,7,10.0,2,2,N,N,Naturally Aspirated,@@@@@,N
2.0,4,29.7169,6,15.0,2,2,N,N,none given,Spark Ignition Direct Injection,N
3.0,6,24.1988,8,10.0,2,2,N,Y,none given,Spark Ignition Direct Injection,
2.0,4,32.4015,6,10.0,2,2,N,Y,none given,Spark Ignition Direct Injection,   
